model,epoch,train_loss,val_average_precision,val_f2
unweighted_logistic,1.0,0.504141976099739,0.7495971930416808,0.7570422535211266
unweighted_logistic,2.0,0.38428644299106784,0.7532511707741183,0.7678571428571428
unweighted_logistic,3.0,0.30513507625481123,0.7550545351157045,0.7733812949640289
unweighted_logistic,4.0,0.25046259047401964,0.754788523007675,0.776173285198556
unweighted_logistic,5.0,0.21110276856045335,0.7546506787367504,0.776173285198556
unweighted_logistic,6.0,0.18173684828044961,0.7557433803179338,0.776173285198556
unweighted_logistic,7.0,0.15915369072603835,0.756629304741196,0.776173285198556
unweighted_logistic,8.0,0.1413394145925778,0.7591204982093325,0.776173285198556
unweighted_logistic,9.0,0.12698191431645817,0.7596991734423756,0.776173285198556
unweighted_logistic,10.0,0.11519693007283302,0.7601830873816892,0.776173285198556
unweighted_logistic,11.0,0.10537120199470458,0.7604348576465761,0.776173285198556
unweighted_logistic,12.0,0.09706644857991623,0.7607505632331499,0.776173285198556
unweighted_logistic,13.0,0.08996516258361416,0.7608646887701308,0.776173285198556
unweighted_logistic,14.0,0.0838299493405843,0.7611197746140882,0.776173285198556
unweighted_logistic,15.0,0.07848041435907291,0.7612801316710238,0.776173285198556
unweighted_logistic,16.0,0.07377791644010565,0.7612829008017975,0.776173285198556
unweighted_logistic,17.0,0.06961481950136038,0.7614161592090637,0.776173285198556
unweighted_logistic,18.0,0.06590502984010653,0.7615169868307267,0.776173285198556
unweighted_logistic,19.0,0.06257986719958562,0.7616984925444571,0.776173285198556
unweighted_logistic,20.0,0.05958350755822227,0.7637063305743267,0.776173285198556
unweighted_logistic,21.0,0.05687027774906804,0.7642645465053954,0.776173285198556
unweighted_logistic,22.0,0.054402642140976364,0.7643743323356237,0.776173285198556
unweighted_logistic,23.0,0.05214940275187667,0.7643980514581672,0.776173285198556
unweighted_logistic,24.0,0.05008423810937345,0.764416934465426,0.776173285198556
unweighted_logistic,25.0,0.04818469157072068,0.7645307167117171,0.776173285198556
unweighted_logistic,26.0,0.046432202997456595,0.7652827651220262,0.776173285198556
unweighted_logistic,27.0,0.044810491587027254,0.7653161482463136,0.776173285198556
unweighted_logistic,28.0,0.0433055444995766,0.7660061570862451,0.776173285198556
unweighted_logistic,29.0,0.04190540383670037,0.766153502552177,0.776173285198556
unweighted_logistic,30.0,0.040599720769208834,0.7662184949989405,0.776173285198556
unweighted_logistic,31.0,0.03937943034971811,0.7664440102958991,0.776173285198556
unweighted_logistic,32.0,0.03823634722610027,0.7665540807220482,0.776173285198556
unweighted_logistic,33.0,0.0371635739264287,0.76665754276661,0.776173285198556
unweighted_logistic,34.0,0.03615488024173914,0.7668712135676782,0.776173285198556
unweighted_logistic,35.0,0.03520480650149982,0.7670375901344917,0.776173285198556
unweighted_logistic,36.0,0.03430835457593421,0.7680815578236145,0.776173285198556
unweighted_logistic,37.0,0.0334613216867891,0.7680620455215783,0.776173285198556
unweighted_logistic,38.0,0.03265956598733967,0.7680664757586225,0.776173285198556
unweighted_logistic,39.0,0.03189975706046742,0.7680905240405789,0.776173285198556
unweighted_logistic,40.0,0.031178772531314628,0.7681770160628106,0.776173285198556
unweighted_logistic,41.0,0.030493606533212248,0.7691462838012642,0.776173285198556
unweighted_logistic,42.0,0.02984166236589088,0.7692251216671427,0.776173285198556
unweighted_logistic,43.0,0.029220655595245185,0.7692185521259748,0.776173285198556
unweighted_logistic,44.0,0.02862848448765141,0.7692443285741142,0.776173285198556
unweighted_logistic,45.0,0.028063167049733814,0.7692476706953821,0.776173285198556
unweighted_logistic,46.0,0.027522997360371962,0.769254714094189,0.776173285198556
unweighted_logistic,47.0,0.02700644711131784,0.7692835553485318,0.776173285198556
unweighted_logistic,48.0,0.026511745570763648,0.769312230106618,0.776173285198556
unweighted_logistic,49.0,0.026037679482892682,0.7694428735643627,0.776173285198556
unweighted_logistic,50.0,0.02558303023853249,0.7694432208910563,0.776173285198556
unweighted_logistic,51.0,0.025146659580333533,0.7694548801303874,0.776173285198556
unweighted_logistic,52.0,0.02472740816839912,0.7694622468256663,0.776173285198556
unweighted_logistic,53.0,0.024324400045172473,0.7694691794086567,0.776173285198556
unweighted_logistic,54.0,0.02393661232091802,0.7699550330347854,0.776173285198556
unweighted_logistic,55.0,0.02356324962684592,0.7699648706296394,0.776173285198556
unweighted_logistic,56.0,0.02320358130443036,0.7699896177198046,0.776173285198556
unweighted_logistic,57.0,0.02285682287616545,0.7701240813920645,0.776173285198556
unweighted_logistic,58.0,0.02252227573904573,0.7717486713579321,0.776173285198556
unweighted_logistic,59.0,0.022199359491350767,0.7717809614423667,0.776173285198556
unweighted_logistic,60.0,0.021887475645925247,0.7717942404078946,0.776173285198556
class_weighted_logistic,1.0,0.36110390829088945,0.7759345579545381,0.7789855072463768
class_weighted_logistic,2.0,0.3221896114318872,0.7772813612783017,0.7846715328467154
class_weighted_logistic,3.0,0.2933255138341354,0.7793558355694343,0.7875457875457875
class_weighted_logistic,4.0,0.27067647684006857,0.7745905421016905,0.7720588235294119
class_weighted_logistic,5.0,0.2525615452816558,0.7725530909018865,0.7692307692307693
class_weighted_logistic,6.0,0.2378424182800157,0.7681813879648639,0.7586206896551725
class_weighted_logistic,7.0,0.2258107489191069,0.7597235380976943,0.7586206896551725
class_weighted_logistic,8.0,0.2157008427585662,0.7485329169908722,0.7534246575342466
class_weighted_logistic,9.0,0.2072345571042045,0.7432161558766919,0.7508532423208192
class_weighted_logistic,10.0,0.200060993128565,0.7411702709909137,0.7508532423208192
class_weighted_logistic,11.0,0.1938767875023081,0.7348310557273376,0.748299319727891
class_weighted_logistic,12.0,0.18852280995021783,0.7344595924815385,0.748299319727891
class_weighted_logistic,13.0,0.18394977967724566,0.7296650387058623,0.7457627118644067
class_weighted_logistic,14.0,0.17991088641027808,0.7286070078312644,0.7457627118644067
class_weighted_logistic,15.0,0.17630416212122996,0.7263485579127922,0.7432432432432431
