model,split,tp,fp,tn,fn,precision,recall,f1,f2,accuracy,flagged_rate,false_positive_rate,average_precision,roc_auc,threshold,alerts,missed_fraud_cost,expected_cost,expected_cost_per_transaction,cost_savings_vs_no_model
unweighted_logistic,validation,43,6,56898,14,0.8775510204081632,0.7543859649122807,0.8113207547169812,0.776173285198556,0.9996488825687752,0.0008602377065009393,0.00010544074230282581,0.7717942404078946,0.9733620304803905,0.053668899607021495,49.0,4965.09,5013.09,0.08800916416495497,9213.0
unweighted_logistic,test,57,12,56875,18,0.8260869565217391,0.76,0.7916666666666667,0.7723577235772356,0.9994733330992591,0.001211333871703943,0.00021094450401673494,0.8075439978763655,0.9803657543316868,0.053668899607021495,69.0,3032.0099999999998,3128.0099999999998,0.05491397773954566,7226.25
class_weighted_logistic,validation,43,2,56902,14,0.9555555555555556,0.7543859649122807,0.8431372549019609,0.7875457875457875,0.9997191060550201,0.0007900142202559646,3.514691410094194e-05,0.7793558355694343,0.9753626298277678,0.9510248150697633,45.0,4965.09,4981.09,0.08744737627499517,9245.0
class_weighted_logistic,test,51,4,56883,24,0.9272727272727272,0.68,0.7846153846153845,0.7183098591549297,0.9995084442259752,0.0009655559846915488,7.031483467224498e-05,0.7878080527985483,0.9839539203450115,0.9510248150697633,55.0,4841.950000000001,4873.950000000001,0.08556493802886136,5480.3099999999995
hist_gradient_boosting,validation,43,4,56900,14,0.9148936170212766,0.7543859649122807,0.8269230769230769,0.7818181818181819,0.9996839943118976,0.0008251259633784519,7.029382820188388e-05,0.7798298908414729,0.9756225320083564,0.9715973424577078,47.0,4964.860000000001,4996.860000000001,0.087724232369516,9229.23
hist_gradient_boosting,test,53,6,56881,22,0.8983050847457628,0.7066666666666667,0.7910447761194029,0.7381615598885793,0.9995084442259752,0.0010357782381236614,0.00010547225200836747,0.770079966168872,0.9797690157681017,0.9715973424577078,59.0,3736.77,3784.77,0.06644376953056423,6569.49
